,Movies,Worldwide Collections
332,The Cure: Anniversary 1978-2018 Live in Hyde Park,"$591,904"
333,The Wonderland,"$591,857"
334,Seberg,"$587,000"
335,The Painted Bird,"$577,566"
336,Light of My Life,"$573,790"
337,My Fair Lady 2019 Re-release,"$560,711"
338,Fiddler: A Miracle of Miracles,"$558,816"
339,"DCI 2019: Big, Loud & Live 16","$546,060"
340,The Day Shall Come,"$543,993"
341,Grateful Dead Meet-Up 2019,"$537,153"
342,CatVideoFest,"$536,566"
343,Margaret Atwood: Live in Cinemas,"$529,285"
344,The Audience 2019 Re-release,"$523,432"
345,Bolshoi Ballet: Carmen Suite/Petrushka,"$522,179"
346,The Spy Behind Home Plate,"$519,525"
347,Wild Nights with Emily,"$519,487"
348,Saving Private Ryan 2019 Re-release,"$508,694"
349,Whisper of the Heart 2019 Re-release,"$498,156"
350,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770"
351,Monty Python's Life of Brian 2019 Re-release,"$493,971"
352,The Russian Five,"$485,049"
353,Lawrence of Arabia 2019 Re-release,"$482,281"
354,Liam Gallagher: As It Was,"$477,009"
355,Hail Satan?,"$467,361"
356,Christmas Jars,"$459,462"
357,Cruel Intentions 2019 Re-release,"$445,218"
358,What We Left Behind: Star Trek DS9,"$434,437"
359,Killing Sarai,"$425,332"
360,Ben-Hur 2019 Re-release,"$422,622"
361,The Cold Blue,"$420,177"
362,The Reliant,"$408,747"
363,"Hello, Dolly!","$400,881"
364,The Shawshank Redemption 2019 Re-release,"$387,095"
365,The Wedding Guest,"$386,166"
366,The Secret World of Arrietty 2019 Re-release,"$384,289"
367,Great Performances at the Met: Puccini: Turandot,"$375,295"
368,Ghostbusters 2019 Re-release,"$369,612"
369,INXS: Baby Live at Wembly Stadium,"$366,425"
370,Lords of Chaos,"$365,353"
371,Clemency,"$364,716"
372,The Tobacconist,"$360,996"
373,K-12,"$359,377"
374,The Tomorrow Man,"$354,103"
375,Star Trek: The Motion Picture 2019 Re-release,"$346,243"
376,Triple Threat,"$345,900"
377,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632"
378,First Love,"$336,756"
379,Diane,"$336,166"
380,Freaks,"$335,050"
381,Anthropocene: The Human Epoch,"$334,162"
382,A Silent Voice: The Movie 2019 Re-release,"$333,984"
383,"A White, White Day","$333,928"
384,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979"
385,Lucy in the Sky,"$325,950"
386,Sword of Trust,"$323,369"
387,Woodstock,"$320,610"
388,Cunningham,"$320,293"
389,Meeting Gorbachev,"$319,230"
390,You Are Here: A Come From Away Story,"$318,885"
391,Ask Dr. Ruth,"$318,230"
392,Josh Groban Bridges Live from Madison Square Garden,"$315,173"
393,Plácido Domingo Gala,"$311,246"
394,The Third Wife,"$305,755"
395,Cliffs of Freedom,"$300,842"
396,Shakira in Concert: El Dorado World Tour,"$294,677"
397,Beats,"$294,612"
398,The Giant Spider Invasion,"$293,053"
399,The Zoya Factor,"$289,631"
400,Saga of Tanya the Evil - The Movie,"$288,460"
401,Khalid: Free Spirit,"$284,229"
402,Mike Wallace Is Here,"$281,245"
403,Octaman,"$280,710"
404,Bolshoi Ballet: The Golden Age,"$277,666"
405,See You Soon,"$277,126"
406,True Grit 2019 Re-release,"$276,418"
407,Slayer: The Repentless Killogy,"$272,874"
408,One Child Nation,"$271,841"
409,Luzia: Cirque du Soleil in Cinema,"$265,673"
410,Out of Liberty,"$265,279"
411,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983"
412,Her Smell,"$260,481"
413,Star Raiders: The Adventures of Saber Raine,"$260,234"
414,The Cave,"$258,921"
415,I Got the Hook Up 2,"$252,293"
416,Canal Street,"$251,917"
417,The Twilight Zone: A 60th Anniversary Celebration,"$248,514"
418,Doctor Who: The End of Time: Part One,"$247,798"
419,American Woman,"$245,416"
420,Out of Blue,"$242,847"
421,Play the Flute,"$241,251"
422,311 Enlarged to Show Detail 3,"$238,791"
423,Varda by Agnès,"$235,699"
424,India's Most Wanted,"$235,351"
425,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973"
426,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703"
427,Ophelia,"$229,405"
428,Mine 9,"$226,421"
429,Millennium Actress 2019 Re-release,"$225,250"
430,Extra Ordinary,"$223,898"
431,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858"
432,Never Surrender: A Galaxy Quest Documentary,"$222,971"
433,The Karate Kid 2019 Re-release,"$215,447"
434,Hamlet 2019 Re-release,"$214,578"
435,Tigers Are Not Afraid 2019 Re-release,"$210,138"
436,"Faith, Hope & Love","$210,091"
437,Kathy Griffin: A Hell of a Story,"$208,907"
438,Batman 2019 Re-release,"$207,901"
439,The Iron Orchard,"$204,881"
440,Working Woman,"$204,727"
441,Hesburgh,"$204,709"
442,Blink of an Eye,"$201,874"
443,Zombi Child,"$200,909"
444,Little Joe,"$196,960"
445,Family,"$194,601"
446,Mr. Klein,"$193,028"
447,The Divine Plan,"$190,031"
448,Buñuel in the Labyrinth of the Turtles,"$185,675"
449,To Dust,"$184,495"
450,The River and the Wall,"$183,602"
451,Giant Little Ones,"$181,507"
452,Rafiki,"$181,316"
453,Walking on Water,"$178,119"
454,Modest Heroes,"$178,027"
455,The Warrior Queen of Jhansi,"$177,289"
456,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387"
457,Them That Follow,"$172,952"
458,Little Woods,"$171,912"
459,Palau the Movie,"$171,155"
460,Britt-Marie Was Here,"$168,862"
461,Bright Ones,"$165,627"
462,The Chambermaid,"$164,531"
463,Halston,"$163,446"
464,"Diana Ross: Her Life, Love and Legacy","$160,968"
465,Money,"$155,732"
466,Before You Know It,"$151,507"
467,Jay Myself,"$151,331"
468,Glory 2019 Re-release,"$150,801"
469,Piercing,"$149,211"
470,The Kingmaker,"$148,611"
471,Trial by Fire,"$148,504"
472,War and Peace,"$148,503"
473,Driven,"$147,172"
474,Citizen K,"$145,941"
475,Framing John DeLorean,"$145,625"
476,Doctor Who: Logopolis,"$143,248"
477,Branagh Theatre Live: The Winter's Tale,"$141,143"
478,Canelo vs. Kovalev,"$140,820"
479,Wilder vs. Ortiz,"$139,207"
480,Who Will Write Our History,"$138,868"
481,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888"
482,Sonchiriya,"$135,413"
483,The Other Story,"$135,191"
484,Made in Abyss: Journey's Dawn,"$134,194"
485,Be Natural: The Untold Story of Alice Guy-Blaché,"$133,603"
486,The Wind,"$130,974"
487,Mister America,"$130,897"
488,Section 375,"$129,916"
489,Paris Is Burning 2019 Re-release,"$125,677"
490,This Changes Everything,"$125,348"
491,Mary Magdalene 2019 Re-release,"$124,741"
492,A Tuba to Cuba,"$124,592"
493,Easy Rider 2019 Re-release,"$123,276"
494,Tremors,"$121,813"
495,Avant qu'on explose,"$119,894"
496,Skin,"$116,863"
