,Movies,Worldwide Collections
535,Bishôjo senshi Sailor Moon Super S Special,"$231,434"
536,"Belle and Sebastian, Friends for Life 2018 Re-release","$229,983"
537,Studio 54,"$227,062"
538,BuyBust,"$223,720"
539,Little Pink House,"$220,948"
540,Great Performances at the Met: Puccini: Turandot,"$219,619"
541,Fragments of Truth,"$219,342"
542,Dark Money,"$217,932"
543,Getting Grace,"$217,812"
544,The Treasure of the Sierra Madre,"$215,295"
545,Agent Mr. Chan,"$208,351"
546,The Dating Project,"$208,100"
547,Heading Home: The Tale of Team Israel,"$207,533"
548,Keep the Change,"$202,788"
549,The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217"
550,Gemini,"$200,340"
551,Rebel Without a Cause 2018 Re-release,"$199,963"
552,Madeline's Madeline,"$197,309"
553,Have It All -The Movie,"$197,142"
554,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517"
555,Claire's Camera,"$191,980"
556,Harry Potter and the Goblet of Fire 2018 Re-release,"$191,529"
557,The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946"
558,Owaranai hito: Miyazaki Hayao,"$187,320"
559,Twiceland,"$186,078"
560,National Theatre Live: King Lear,"$185,305"
561,Cobra Kai Premiere Event feat. The Karate Kid,"$185,082"
562,Shock and Awe,"$182,415"
563,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,"$175,922"
564,Always at The Carlyle,"$174,251"
565,The Bolshoi Ballet: Live From Moscow - La Sylphide,"$171,177"
566,Girls of the Sun,"$168,771"
567,The Clovehitch Killer,"$167,994"
568,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,"$167,991"
569,Is Genesis History? 2018 Re-release,"$166,763"
570,Far From the Tree,"$166,018"
571,Lost & Found,"$164,026"
572,The Samuel Project,"$161,565"
573,Lu Over the Wall,"$161,253"
574,National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release,"$160,381"
575,The Last Resort,"$158,646"
576,Western,"$155,215"
577,Bad Reputation,"$154,190"
578,Eating Animals,"$153,993"
579,The Tag Along: Devil Fish,"$153,895"
580,"Buttons, A New Musical Film","$151,983"
581,Harry Potter and the Deathly Hallows: Part 1 2018 Re-release,"$148,263"
582,Night of the Living Dead 2018 Re-release,"$147,423"
583,Hannah,"$146,325"
584,Mr. Smith Goes to Washington 2018 Re-release,"$144,738"
585,The Price of Everything,"$144,446"
586,Disguising,"$143,108"
587,Best F(r)iends Volume Two,"$141,524"
588,Support the Girls,"$139,550"
589,Head Full of Honey,"$138,844"
590,The Brawler,"$138,515"
591,Mantra: Sounds Into Silence,"$135,684"
592,Another Day of Life,"$134,801"
593,Harry Potter and the Order of the Phoenix 2018 Re-release,"$132,782"
594,Rudy 2018 Re-release,"$131,200"
595,The Image Book,"$130,802"
596,Saheb Biwi Aur Gangster 3,"$130,403"
597,Five Seasons: The Gardens of Piet Oudolf,"$130,319"
598,Harry Potter and the Half-Blood Prince 2018 Re-release,"$130,246"
599,Great Performances at the Met: Puccini: Madama Butterfly,"$129,730"
600,Great Performances at the Met: Tchaikovsky: Eugene Onegin 2018 Re-release,"$129,498"
601,Great Performances at the Met: Verdi: Il Trovatore,"$129,393"
602,Love After Love,"$128,602"
603,Where Hands Touch,"$128,269"
604,Sleepless in Seattle 2018 Re-release,"$127,281"
605,The Great Buster,"$125,807"
606,Hymn: Sarah Brightman In Concert,"$124,707"
607,'85: The Greatest Team in Football History,"$124,573"
608,Wings of Desire 2018 Re-release,"$123,830"
609,Blood Fest,"$122,833"
610,Yu-Gi-Oh!: The Movie - Pyramid of Light 2018 Re-release,"$121,688"
611,Styx 2018 Re-release,"$118,188"
612,Bisbee '17,"$117,470"
613,George Takei's Allegiance 2018 Re-release,"$117,162"
614,Nostalgia,"$114,603"
615,John McEnroe: In the Realm of Perfection,"$114,289"
616,Bodied,"$113,956"
617,Filmworker,"$112,828"
618,A Boy. A Girl. A Dream.,"$112,552"
619,"Hale County This Morning, This Evening","$112,282"
620,The Dawn Wall,"$112,191"
621,A Chance in the World,"$112,007"
622,A Paris Education,"$111,197"
623,Red Sorghum,"$108,371"
624,"No Date, No Signature","$107,368"
625,National Theatre Live: Julius Caesar,"$107,057"
626,The Charmer,"$106,379"
627,Never Heard,"$105,271"
628,Andrei Rublev 2018 Re-release,"$102,021"
629,Kickboxer: Retaliation,"$101,690"
630,All About Nina,"$100,335"
631,Meow Wolf: Origin Story,"$99,488"
632,Reign of Judges: Title of Liberty - Concept Short,"$98,408"
633,National Theatre Live: Macbeth,"$97,857"
634,Godspeed: The Race Across America,"$96,690"
635,The Night Eats the World,"$95,208"
636,Let the Corpses Tan,"$93,409"
637,Nancy,"$92,000"
638,BANDSTAND: The Broadway Musical on Screen 2018 Re-release,"$91,000"
639,Yuri!!! On Ice,"$90,751"
640,Minding the Gap,"$90,328"
641,Running for Grace,"$89,988"
642,Cat on a Hot Tin Roof,"$89,332"
643,Goldstone 2018 Re-release,"$87,639"
644,Beuys,"$86,451"
645,"Nico, 1988","$83,558"
646,Doctor Who: The Woman Who Fell to Earth,"$82,698"
647,Bhavesh Joshi Superhero,"$81,792"
648,Yomeddine,"$81,030"
649,Woman Walks Ahead,"$80,912"
650,En el séptimo día,"$79,887"
651,The Boxcar Children - Surprise Island,"$78,676"
652,Un traductor,"$78,075"
653,Parchi,"$77,110"
654,93Queen,"$76,056"
655,Touch Me Not,"$75,507"
656,The Riot Act,"$75,506"
657,Where Is Kyra?,"$74,821"
658,Above and Beyond: NASA's Journey to Tomorrow,"$74,711"
659,The Boy Downstairs,"$73,988"
